pub_identity,station_identity,detail_name,address,category,colour,detail_deletion,detail_latitude,detail_longitude,extra,place,rank
6fe92b26-ef10-4919-bcff-4e47c5cf763c,469bc9f5-58de-4909-b84c-f751d237b7d9,The Ship,"290 Westferry Rd, London E14 3AG, UK",Bar,#0275d8,False,51.487822445730096,-0.0177706405520439,"Odd quiz, poker and live music events.",ChIJceQc7pMCdkgRWGVlNsoF3O0,4.5
c842ceb4-a74b-43d4-8441-3adbbd4daf8d,403ee0dc-0022-46c3-b319-2a0ff138b09a,The George,"114 Glengall Grove, London E14 3ND, UK",Bar,#0275d8,False,51.49617018734497,-0.0136500969529151,Tue games night. Wed quiz night. Fri/Sat live music ,ChIJGR6WM70CdkgRtjCcP3V7bzM,4.2
77b9faed-deb3-45be-b880-9d6ca3727a53,f547568f-ede4-43f7-b8a2-9f45982a570d,"The Sail Loft, Greenwich","11 Victoria Parade, London SE10 9FR, UK",Bar,#0275d8,False,51.48299814076471,-0.01416876912117,Riverside pub with Tue 7.30pm quiz,ChIJQb8s0o8CdkgR7v6hEeJrYk8,4.2
9cc8f7a4-28c9-4e3e-9a03-b2d78ab4f09f,f547568f-ede4-43f7-b8a2-9f45982a570d,The Gipsy Moth,"60 Greenwich Church St, Greater, London SE10 9BL, UK",Bar,#0275d8,False,51.48227446143687,-0.0097736343741416,Beer garden with retractable roof,ChIJh9WHPoUCdkgRmJwRkyr37LU,4.3
17ee2a1c-5789-46fb-86a6-6e248f4beba9,a5b7dc9f-3fc2-49f7-b287-2126cc5c5590,The Dog & Bell,"116 Prince St, London SE8 3JD, UK",Bar,#0275d8,False,51.483354756359496,-0.0258390605449676,Bar billiards,ChIJF_DwgvICdkgR08L1FuOx5UU,4.7
e600a80e-b8d6-49d9-b528-d9186c22fc1c,a5b7dc9f-3fc2-49f7-b287-2126cc5c5590,Buster Mantis,"3-4 Resolution Way, London SE8 4NT, UK",Bar,#0275d8,False,51.47883797626097,-0.0255731865763664,Outside space and £6 Thurs,ChIJf4n-evMCdkgRdtBHBryql-0,4.2
be73a1f9-62cc-470a-955b-094c4b734938,a4ae0ade-a04b-43df-90b7-ebb66b5322ea,The Lord Clyde,"9 Wotton Rd, London SE8 5TQ, UK",Bar,#0275d8,False,51.481082223767146,-0.0307850539684295,Gay friendly bar. Mon/Tue closed,ChIJDUJiU7QDdkgRaUI35ESYUvo,4.5
d27344c5-c1f5-4d13-b79f-057b14a0a360,a4ae0ade-a04b-43df-90b7-ebb66b5322ea,Royal Albert,"460 New Cross Rd, London SE14 6TJ, UK",Bar,#0275d8,False,51.47517569850119,-0.0286788493394851,Bar billiards and outdoor seating,ChIJ2xjz0fUCdkgRnKLRhKUtuoA,4.5
a8467bfa-1f5e-482c-96d3-0e2206aa81c2,6a51c762-7046-4549-95e2-23275d333a6a,Endeavour,"39 Deptford Broadway, London SE8 4PQ, UK",Bar,#0275d8,False,51.474482593232246,-0.0245334953069686,Basement music venue,ChIJQ2eJEBcDdkgRTQoS_l1IFGg,4.7
a406bcc7-0efb-4c7d-af97-eb24246d24bf,2fd8aa17-641f-4260-a9cb-487a763dfc04,The Guildford Arms,"55 Guildford Grove, London SE10 8JY, UK",Bar,#0275d8,False,51.47434163199883,-0.0148393213748931,Classic pub,ChIJ_6OXtYkCdkgRLx2hwn7x4uE,4.4
45897c9f-51e7-43fa-91a0-e7e89e29590e,2fd8aa17-641f-4260-a9cb-487a763dfc04,The Prince of Greenwich Pub,"72 Royal Hill, London SE10 8RF, UK",Restaurant,#0275d8,False,51.47617388523423,-0.009855106472969,Sat/Sun live music with accommodation. Closed Mon,ChIJpZhPT4YCdkgRGRBybfMCtwg,4.8
a2e88552-9cc0-48d5-bb3f-e39cc0006313,a5b7dc9f-3fc2-49f7-b287-2126cc5c5590,The Watergate,"7 Watergate St, London SE8 3HR, UK",Bar,#0275d8,False,51.481726370056656,-0.0262460857629776,Modern bar with outdoor seating,ChIJT3nh178DdkgRA7Vd26XFkGY,4.7
44e3ec1e-f40a-445b-9edb-7994fc4d08d1,a4ae0ade-a04b-43df-90b7-ebb66b5322ea,Cuppa @ Vive Living Café,"82-84 Childers St, London SE8 5FS, UK",Bar,#0275d8,False,51.482278637345935,-0.0348445773124694,Daytime only,ChIJSSahpPoCdkgRh8BvPhL4S3w,4.2
ba02de58-64f6-417e-a6f2-6cae49ac3827,a4ae0ade-a04b-43df-90b7-ebb66b5322ea,Royal George,"85 Tanner's Hill, London SE8 4QD, UK",Bar,#0275d8,False,51.47202061655631,-0.0286158174276351,Traditional pub,ChIJR3oyT18CdkgRjntK0CMePvg,4.5
9bb7e86c-ca97-4f53-a349-ebf4a118342f,59194964-55a6-4f8c-8433-008171d5bb19,The Brookmill,"65 Cranbrook Rd, London SE8 4EJ, UK",Bar,#0275d8,False,51.47090434024588,-0.0220226123929023,Tue 8pm quiz. Fri live music,ChIJ5SyUZ2ACdkgRbXPCEZd9Rjk,4.4
f47dbe6b-1428-4bb8-a017-0a0062785ed9,a4ae0ade-a04b-43df-90b7-ebb66b5322ea,The Wickham Arms,"69 Upper Brockley Rd, London SE4 1TF, UK",Bar,#0275d8,False,51.468689458589,-0.032685063779354,0,ChIJic92JFoCdkgR1vWxmEfA_6M,4.2
9a0fe706-c6f5-4caf-8916-9455700a81f6,3ee5cd25-46f2-4b25-9c05-2195a7b723b9,Lit Shisha Bar & Restaurant,"136 New Cross Rd, London SE14 5BA, UK",Bar,#0275d8,False,51.47571447145935,-0.0475015863776207,Afro-Caribbean shish bar and restaurant. Wed: bottomless bubbles,ChIJtfiXIs0DdkgRh5EMZbdXU5Y,4.4
aae5bfb3-9a38-4bbc-beab-32ec07e1fd9e,07b40685-33b2-42fb-91f7-87f91c2235d2,Beer Rebellion,"129 Queen's Rd, London SE15 2ND, UK",Bar,#0275d8,False,51.473708240814176,-0.0587239488959312,Outside tables,ChIJKzTAjAcDdkgRI9p62C5CNmg,4.5
1342830d-e087-49e6-8266-71ea278355b2,07b40685-33b2-42fb-91f7-87f91c2235d2,Prince of Peckham,"1 Clayton Rd, London SE15 5JA, UK",Bar,#0275d8,False,51.47365498793993,-0.0653211772441864,Regular DJs,ChIJGxf-DQoDdkgRGC7MySEtU_8,4.3
e742eaeb-ca3a-4b61-bf87-186aec8dd672,989c19af-5262-4129-b0c2-2beb9ac05c48,TOLA,"56 Peckham High St, London SE15 5DP, UK",Bar,#0275d8,False,51.473240031060726,-0.0705089047551155,Rooftop bar Fri-Sun only,ChIJLwF3U3UDdkgR8VvHLbiSG-E,4.2
c73c73e4-aefa-48fd-aaa7-c2abdae3aaf5,989c19af-5262-4129-b0c2-2beb9ac05c48,John The Unicorn,"157-159 Rye Ln, London SE15 4TL, UK",Bar,#0275d8,False,51.46877509014671,-0.067557469010353,Wed 8pm quiz and drag nights,ChIJgzKMnqEDdkgR0Tdcve8NKXw,4.2
abf8bc80-06ed-4fbd-95f5-69aaea242fe5,989c19af-5262-4129-b0c2-2beb9ac05c48,Four Quarters Peckham,"187 Rye Ln, London SE15 4TW, UK",Bar,#0275d8,False,51.468025077555104,-0.0670230388641357,Arcade games,ChIJvQLNfqEDdkgR8XTZu4uJ9tU,4.4
1d87e7f7-723f-46eb-b9b2-cb5b25a489c0,989c19af-5262-4129-b0c2-2beb9ac05c48,Brick Brewery Taproom,"209 Blenheim Grove, London SE15 4RX, UK",Other,#0275d8,False,51.4696201188027,-0.0694326683878898,Cask ales,ChIJExog26EDdkgRw4tQ4yw_WXc,4.7
1605a183-1c79-44a6-905a-aab6d109bfbf,989c19af-5262-4129-b0c2-2beb9ac05c48,Peckham Arches,"Blenheim Grove, London SE15 4QN, UK",Bar,#0275d8,False,51.46924209259417,-0.070929005742073,Comedy and live music events. ,ChIJWY6QzaKv2EcRbkKMT8bsRsw,4.8
8a9a733c-f36b-49e9-8da7-aeb884293d92,989c19af-5262-4129-b0c2-2beb9ac05c48,Gosnells Production & Warehouse,"Arches 1, Bellenden Road Business Centre, Bellenden Rd, London SE15 4RF, UK",Other,#0275d8,False,51.46886573410832,-0.0728330388665199,Various events,ChIJ9f8PzZ4DdkgR0oQa4ZLFSyg,4.9
52af26bd-dc00-4812-8766-f2e791d62a50,a6567490-c28e-4c7a-b4b1-6db0653a972a,George Canning,"123 Grove Ln, London SE5 8BG, UK",Bar,#0275d8,False,51.468050976273965,-0.0862293317914009,Hotel,ChIJ531-iYMDdkgRzdYPz5-ryJk,4.2
e11b2048-5a29-48e1-a059-a87797a18ebc,a51a1c60-1fa3-4f11-abe6-142ab250dd1a,The Grosvenor Arms,"17 Sidney Rd, London SW9 0TP, UK",Bar,#0275d8,False,51.469928385370274,-0.117272213101387,Mon 8pm quiz. Outdoor seating,ChIJiY-tN3AFdkgR17_5Blgj8HM,4.7
b7f16ea4-7f50-4d2c-bc48-46cddf0984c0,4339dd98-9059-4bd2-9a34-9daa29efb9d8,Distortion Brewing Company,"647 Portslade Rd, Nine Elms, London SW8 3DH, UK",Bar,#0275d8,False,51.470711364734,-0.1392720267176628,Quirky bar,ChIJB4cKH0UFdkgRyLhu_uM_JcE,5.0
03720287-a239-42f8-9919-ba66747271b4,02b00f73-e182-451f-88eb-ccf5c41ff1c2,The Victoria,"Battersea, 166 Queenstown Rd, London SW8 3QH, UK",Bar,#0275d8,False,51.47288563359625,-0.1481471210718155,Table tennis and outdoor seating,ChIJJ5NZYAcFdkgRUjXqc2l4VOI,4.5
85c71873-b209-4b30-a592-5054413b6d84,4339dd98-9059-4bd2-9a34-9daa29efb9d8,Mondo Brewing Company,"86 Stewart's Rd, Nine Elms, London SW8 4UG, UK",Other,#0275d8,False,51.47463190724887,-0.1403234526515007,Taproom,ChIJ93wa6_8EdkgRhPGlwr09Qn8,4.8
d99dfb84-5486-422d-9698-cec02a5bb71a,02b00f73-e182-451f-88eb-ccf5c41ff1c2,Blackbook Winery,"Arch 41, London Stone Business Estate, Broughton St, London SW8 3QR, UK",Other,#0275d8,False,51.47247860565123,-0.1502037048339843,Wine tours,ChIJSV3JJkQFdkgRxlb5Wi4rb2g,4.6
8963e59d-8ccb-4992-9834-7904450120e6,02b00f73-e182-451f-88eb-ccf5c41ff1c2,The Magic Garden,"231 Battersea Park Rd, London SW11 4LG, UK",Bar,#0275d8,False,51.47532083370335,-0.1508072018623352,"Mon, Thur-Sat live music",ChIJswZMtAcFdkgRD8YIJsrmXqY,4.1
5b901c7f-6de6-4051-897b-d2366f5d92a6,7fa845a7-a3fd-4eff-921d-0a8415dc32c5,The Latchmere,"503 Battersea Park Rd, London SW11 3BW, UK",Bar,#0275d8,False,51.47204943679908,-0.1654359698295593,Theatre pub. Mon 7.30pm quiz,ChIJQ0a_6J8FdkgRHC5tuXadPso,4.2
5587d72c-15c0-4308-8f8b-9afe523627fb,116cc0d1-ac61-48d7-947d-c820af0aaa97,The Waterfront,"baltimore house, Juniper Dr, London SW18 1TS, UK",Bar,#0275d8,False,51.46398511515085,-0.1851337775588035,Riverside pub. Tue 7pm quiz,ChIJBXKAoocFdkgRQxgnX1wM-B0,4.2
ecefbb5e-f81c-4380-9c13-97f27c06954e,116cc0d1-ac61-48d7-947d-c820af0aaa97,The East Hill,"21 Alma Rd, London SW18 1AA, UK",Bar,#0275d8,False,51.45864355285553,-0.1857272163033485,Sun 7.30pm quiz,ChIJY86uvIkFdkgR7PYSquZ3sIY,4.4
649863b1-2207-4d30-b4ac-c4b6ed484d62,116cc0d1-ac61-48d7-947d-c820af0aaa97,Hop Pole,"64 Putney Bridge Rd, London SW18 1HR, UK",Bar,#0275d8,False,51.45931433750318,-0.1982353627681732,Classic pub,ChIJP4AxmWUPdkgRgi1ZtjdR854,4.6
d3b6ad54-f464-4c7c-ad22-703c699ae5ec,116cc0d1-ac61-48d7-947d-c820af0aaa97,The Ship,"41 Jews Row, London SW18 1TB, UK",Bar,#0275d8,False,51.46354396017426,-0.188010111451149,Riverside pub. Tue 7.30pm quiz bingo,ChIJkxWeZ30PdkgRZiJi42dFC8o,4.3
d146e8d7-4e0f-4814-ac83-2b1b419e9ff6,116cc0d1-ac61-48d7-947d-c820af0aaa97,Neverland London,"Wandsworth Bridge, Wandsworth Bridge, London SW6 2TY, UK",Bar,#0275d8,False,51.46626351244917,-0.188867412507534,Sandy beach bar. Occasional events. Mon-Wed closed,ChIJcw5az-gPdkgRufUKMFwRAe8,4.1
735704b6-f5af-4d0c-a9d3-b670fe3c7f1a,e5b30b51-337b-4fac-9ebd-0257a4ae7cb7,The Sands End,"135-137 Stephendale Rd, London SW6 2PR, UK",Bar,#0275d8,False,51.47109835917465,-0.1872272416949272,Wed 7.30pm quiz,ChIJF_P1HIAFdkgRmTxCW8v_Uj0,4.2
5d96f568-3e37-48b6-8260-670cb82e6eb2,e5b30b51-337b-4fac-9ebd-0257a4ae7cb7,The Woodman,"60 Battersea High St, London SW11 3HX, UK",Bar,#0275d8,False,51.47359588761844,-0.1736629754304886,Classic pub,ChIJTRa3z3cFdkgRn1v_gGmF65E,4.3
