pub_identity,monday,tuesday,wednesday,thursday,friday,saturday,sunday
52af26bd-dc00-4812-8766-f2e791d62a50,no events,no events,no events,no events,no events,no events,no events
53314102-b77d-423c-bd03-6deb04941105,no events,no events,no events,no events,no events,no events,no events
537c84a3-b54b-488e-9f55-652409df94b0,no events,no events,no events,no events,no events,no events,no events
540826ee-31c9-4644-bbbd-b3ef0d47b08b,no events,8pm quiz,no events,no events,no events,no events,no events
542030c6-7749-45ca-8705-44a741296f1e,no events,no events,no events,no events,no events,no events,no events
54de95e5-16b1-48a3-b00b-7f53c85a0745,no events,no events,no events,no events,no events,no events,7pm quiz
55160e29-789d-4ec1-ae2c-07ae7dd30194,no events,no events,no events,no events,no events,no events,no events
554bc650-de83-4db6-ad33-e74e8950d1e4,Board games,no events,no events,no events,no events,no events,no events
556a9b24-a44a-4136-8f14-2b963e276d15,TBC,TBC,TBC,TBC,TBC,TBC,TBC
5587d72c-15c0-4308-8f8b-9afe523627fb,no events,Quiz 7pm,no events,no events,no events,no events,no events
55bdb9b5-9d23-491b-98dd-8525839f225d,no events,no events,no events,no events,no events,no events,no events
55cfb269-6585-4ae1-bd89-8ef6cae6ea79,no events,Quiz 8pm,no events,Comedy,no events,no events,Live music
55f393ed-9aa5-4bb1-96b1-1b940022e694,no events,no events,Quiz 7.30pm,no events,live music,live music,Quiz 8pm
56175398-3dfa-42ab-89b3-782e4fa9faa5,TBC,TBC,TBC,TBC,TBC,TBC,TBC
565e8b02-df6d-45f9-8e9c-8a37dcebedd8,no events,no events,no events,no events,no events,no events,no events
569209fe-7b87-4d11-8d24-3525d6b8e560,Closed,Closed,no events,no events,no events,no events,no events
56d385be-abf8-4bf1-9afd-8c57441333c7,no events,no events,no events,no events,no events,no events,no events
5778512f-1a16-4a77-bd7e-ac430fedf578,no events,Live music and open mic,no events,no events,no events,no events,no events
57da201e-7e6e-4fe2-b63c-3f43e3b4a66f,no events,no events,no events,no events,no events,no events,no events
57fbcd08-b7c0-4279-b268-7600aa09cc98,no events,no events,no events,no events,no events,no events,no events
5848c75a-8328-4eda-8531-e66690b66a30,no events,no events,no events,no events,no events,no events,no events
